指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sh000001,1995-01-27,637.720000,562.590000,547.380000,657.450000,773002000.000000,5024763800.000000,-0.131631
sh000001,1995-02-28,559.780000,549.260000,524.420000,608.580000,1038837100.000000,6288905000.000000,-0.023694
sh000001,1995-03-31,548.910000,646.920000,545.720000,648.040000,2937260700.000000,23341255600.000000,0.177803
sh000001,1995-04-28,651.040000,579.930000,547.210000,681.150000,3038392200.000000,20810701900.000000,-0.103552
sh000001,1995-05-31,576.690000,700.510000,564.860000,926.410000,6132731700.000000,52707278400.000000,0.207922
sh000001,1995-06-30,703.720000,630.580000,625.700000,722.300000,2665856700.000000,15829080900.000000,-0.099827
sh000001,1995-07-31,623.140000,695.550000,610.330000,723.680000,6699947800.000000,31923497700.000000,0.103032
sh000001,1995-08-31,697.220000,723.870000,688.650000,788.160000,10004407700.000000,52910297900.000000,0.040716
sh000001,1995-09-29,726.050000,722.430000,699.100000,792.540000,5992628400.000000,31414316500.000000,-0.001989
sh000001,1995-10-31,724.040000,717.320000,693.860000,765.480000,7120846000.000000,41171705700.000000,-0.007073
sh000001,1995-11-30,716.460000,641.140000,632.030000,736.910000,3542618700.000000,18972184800.000000,-0.106201
sh000001,1995-12-29,631.550000,555.290000,552.840000,643.360000,1767184300.000000,9951852800.000000,-0.133902
sh000001,1996-01-31,550.260000,537.350000,512.830000,561.360000,2417387600.000000,10404586800.000000,-0.032307
sh000001,1996-02-16,536.240000,552.940000,518.180000,553.830000,937014900.000000,4637379100.000000,0.029013
sh000001,1996-03-29,583.380000,556.390000,549.720000,606.510000,2717772100.000000,14307633300.000000,0.006239
sh000001,1996-04-30,566.210000,681.160000,556.230000,739.290000,6839041100.000000,44573183200.000000,0.224249
sh000001,1996-05-31,715.970000,643.650000,630.420000,725.160000,7596815400.000000,44320958200.000000,-0.055068
sh000001,1996-06-28,643.960000,804.250000,636.460000,819.840000,12194659100.000000,90044966000.000000,0.249514
sh000001,1996-07-31,800.910000,822.480000,753.640000,894.730000,14009886600.000000,110539721200.000000,0.022667
sh000001,1996-08-30,823.170000,809.940000,766.700000,894.860000,8117212400.000000,63696642100.000000,-0.015247
sh000001,1996-09-27,812.940000,875.530000,752.680000,875.530000,8850330500.000000,74947775100.000000,0.080981
sh000001,1996-10-31,887.850000,976.710000,852.830000,1038.810000,18528856200.000000,144553360500.000000,0.115564
sh000001,1996-11-29,935.170000,1032.950000,896.880000,1047.390000,13684740300.000000,106919537500.000000,0.057581
sh000001,1996-12-31,1056.680000,917.020000,855.850000,1258.690000,21944769300.000000,202535378500.000000,-0.112232
sh000001,1997-01-31,914.060000,964.740000,871.780000,967.900000,6925491400.000000,58870322900.000000,0.052038
sh000001,1997-02-28,969.530000,1040.270000,870.180000,1040.330000,7735229400.000000,67479754300.000000,0.078291
sh000001,1997-03-31,1044.610000,1234.620000,1043.930000,1234.960000,18611319300.000000,195508295100.000000,0.186826
sh000001,1997-04-30,1243.870000,1393.750000,1222.560000,1396.480000,21173318700.000000,249448770400.000000,0.128890
sh000001,1997-05-30,1398.140000,1285.180000,1213.240000,1510.180000,15626082200.000000,207388947700.000000,-0.077898
sh000001,1997-06-27,1302.820000,1250.270000,1154.970000,1369.510000,9737585100.000000,132661678200.000000,-0.027164
sh000001,1997-07-31,1255.910000,1189.760000,1066.040000,1261.570000,9000940200.000000,103855256300.000000,-0.048398
sh000001,1997-08-29,1191.650000,1221.060000,1116.150000,1223.070000,9238606200.000000,84131179000.000000,0.026308
sh000001,1997-09-30,1224.180000,1097.380000,1025.130000,1264.490000,9234745100.000000,78301760900.000000,-0.101289
sh000001,1997-10-31,1100.700000,1180.390000,1087.020000,1241.830000,6993340200.000000,67752639700.000000,0.075644
sh000001,1997-11-28,1181.160000,1139.630000,1114.140000,1213.230000,6275650200.000000,60074181200.000000,-0.034531
sh000001,1997-12-31,1137.590000,1194.100000,1119.200000,1198.970000,6648993800.000000,70844240000.000000,0.047796
sh000001,1998-01-23,1200.950000,1222.910000,1110.090000,1250.010000,7036715200.000000,78065701800.000000,0.024127
sh000001,1998-02-27,1258.000000,1206.530000,1189.520000,1262.620000,6005332000.000000,59947968200.000000,-0.013394
sh000001,1998-03-31,1196.740000,1243.020000,1175.550000,1252.240000,8538903000.000000,91332212200.000000,0.030244
sh000001,1998-04-30,1243.370000,1343.450000,1240.060000,1343.460000,22327818500.000000,178735495900.000000,0.080795
sh000001,1998-05-29,1353.060000,1411.210000,1324.720000,1411.350000,18848077200.000000,155615725400.000000,0.050437
sh000001,1998-06-30,1418.350000,1339.200000,1323.530000,1422.980000,14185296500.000000,134424952900.000000,-0.051027
sh000001,1998-07-31,1363.270000,1316.920000,1278.300000,1367.150000,10703435700.000000,88072106800.000000,-0.016637
sh000001,1998-08-31,1315.140000,1150.220000,1043.020000,1315.470000,11568621000.000000,74731175900.000000,-0.126583
sh000001,1998-09-30,1142.500000,1242.900000,1123.640000,1264.400000,15481164800.000000,112499984000.000000,0.080576
sh000001,1998-10-30,1245.740000,1217.320000,1191.560000,1263.710000,11672623000.000000,99415317000.000000,-0.020581
sh000001,1998-11-30,1217.340000,1247.420000,1210.850000,1300.150000,12167240000.000000,112480776300.000000,0.024726
sh000001,1998-12-31,1249.010000,1146.700000,1125.560000,1251.870000,7216957900.000000,53289610200.000000,-0.080743
sh000001,1999-01-29,1144.890000,1134.670000,1104.500000,1174.430000,9286117500.000000,54860134100.000000,-0.010491
sh000001,1999-02-09,1131.650000,1090.090000,1064.170000,1131.660000,2756467800.000000,15043491000.000000,-0.039289
sh000001,1999-03-31,1092.150000,1158.050000,1084.160000,1179.650000,13647642100.000000,86506471800.000000,0.062343
sh000001,1999-04-30,1158.680000,1120.930000,1087.790000,1210.100000,16163541600.000000,99777880900.000000,-0.032054
sh000001,1999-05-31,1120.910000,1279.330000,1047.830000,1303.480000,22822468400.000000,138302917100.000000,0.141311
sh000001,1999-06-30,1283.300000,1689.430000,1259.010000,1756.180000,64003890700.000000,482065663900.000000,0.320558
sh000001,1999-07-30,1678.840000,1601.460000,1471.510000,1678.840000,36680487400.000000,274688151700.000000,-0.052071
sh000001,1999-08-31,1607.060000,1627.120000,1546.840000,1658.690000,23691751700.000000,198931850800.000000,0.016023
sh000001,1999-09-30,1627.820000,1570.700000,1556.740000,1695.640000,16236462100.000000,142894534200.000000,-0.034675
sh000001,1999-10-29,1568.240000,1504.560000,1452.710000,1568.380000,10037267000.000000,56910578800.000000,-0.042109
sh000001,1999-11-30,1501.740000,1434.970000,1427.360000,1506.990000,12578689100.000000,75696034800.000000,-0.046253
sh000001,1999-12-30,1434.980000,1366.580000,1341.050000,1461.900000,10947157500.000000,70942948600.000000,-0.047660
sh000001,2000-01-28,1368.690000,1535.000000,1361.210000,1547.710000,28924911800.000000,219619380100.000000,0.123242
sh000001,2000-02-29,1591.450000,1714.580000,1583.580000,1770.880000,37208841900.000000,332453713300.000000,0.116990
sh000001,2000-03-31,1720.600000,1800.230000,1596.070000,1811.060000,46725487000.000000,430112962200.000000,0.049954
sh000001,2000-04-28,1799.580000,1836.320000,1746.300000,1858.270000,29883145700.000000,288386723100.000000,0.020047
sh000001,2000-05-31,1848.170000,1894.550000,1695.530000,1908.310000,20986294100.000000,210739322000.000000,0.031710
sh000001,2000-06-30,1900.530000,1928.110000,1884.620000,1953.340000,31029318400.000000,302547760600.000000,0.017714
sh000001,2000-07-31,1917.440000,2023.540000,1888.250000,2025.000000,25474307600.000000,267933569600.000000,0.049494
sh000001,2000-08-31,2027.010000,2021.200000,1980.350000,2114.520000,26447468300.000000,333962436700.000000,-0.001156
sh000001,2000-09-29,2009.150000,1910.160000,1874.210000,2026.350000,11604322300.000000,146181881500.000000,-0.054938
sh000001,2000-10-31,1912.080000,1961.290000,1896.950000,1980.630000,12949521600.000000,131703866200.000000,0.026767
sh000001,2000-11-30,1961.080000,2070.610000,1959.720000,2125.720000,25104393600.000000,259484739700.000000,0.055739
sh000001,2000-12-29,2073.090000,2073.480000,2024.290000,2097.290000,25366038500.000000,214262481600.000000,0.001386
